msg_type,mmsi,ship_name,meta_lat,meta_lon,time_utc,cog,comm_state,latitude,longitude,message_id,nav_status,pos_accuracy,raim,rot,repeat_ind,sog,spare,manoeuvre_ind,timestamp,heading,user_id,is_valid
PositionReport,215777000,MINERVA MARINA      ,38.36342,15.23582,2026-03-21 12:19:42.298349354 +0000 UTC,322.3,34350,38.363418333333335,15.235823333333334,1,0,False,False,0,0,11.2,0,0,43,324,215777000,True
PositionReport,212184000,MSC BRIDGE          ,38.37767,15.46818,2026-03-21 12:19:43.569183285 +0000 UTC,74.5,67164,38.37766833333333,15.468178333333332,1,0,False,False,0,0,9.2,0,0,44,73,212184000,True
PositionReport,247149630,M/P PAPA' CARMELO  ,38.24808,15.0625,2026-03-21 12:19:43.659564127 +0000 UTC,144.9,68435,38.248075,15.062503333333332,3,7,True,True,-128,0,2.1,0,0,43,511,247149630,True
PositionReport,2470087,MILAZZO PORT INFORMR,38.21197,15.24671,2026-03-21 12:19:44.436589086 +0000 UTC,155.7,2211,38.21196666666666,15.246711666666666,1,0,False,False,-128,0,0,0,0,43,511,2470087,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21845,15.24141,2026-03-21 12:19:45.119718773 +0000 UTC,100.1,79229,38.21845,15.241406666666668,3,0,False,False,0,0,0,0,0,45,312,247447600,True
PositionReport,247234700,ACRUX               ,38.21699,15.24761,2026-03-21 12:19:46.140243899 +0000 UTC,101.1,2202,38.216985,15.247608333333334,1,0,True,False,-128,0,0,0,0,45,511,247234700,True
PositionReport,247540100,LAURA SANGIOVANNI   ,38.5024,14.98262,2026-03-21 12:19:46.898882576 +0000 UTC,158.4,82669,38.50239833333333,14.982619999999999,3,0,True,False,0,0,27.5,0,0,46,155,247540100,True
PositionReport,247225900,REGINA DEI MARI,38.47762,14.96336,2026-03-21 12:19:47.419922395 +0000 UTC,360,22604,38.47762,14.963356666666666,1,0,True,True,-128,0,0,0,0,46,511,247225900,True
PositionReport,566579000,HAFNIA SUNDA        ,38.22294,15.33742,2026-03-21 12:19:50.920875604 +0000 UTC,163,84938,38.22294,15.337415,3,1,True,False,-4,0,0,0,0,58,9,566579000,True
PositionReport,247350300,EMMA M,38.01325,12.51218,2026-03-21 12:19:52.124286981 +0000 UTC,15.3,49210,38.01324833333333,12.512184999999999,1,0,False,False,0,0,0,0,0,49,352,247350300,True
PositionReport,247149630,M/P PAPA' CARMELO  ,38.24799,15.06258,2026-03-21 12:19:53.824167586 +0000 UTC,143.2,2210,38.247991666666664,15.062576666666667,1,7,True,True,-128,0,2.1,0,0,53,511,247149630,True
PositionReport,271000742,MSC HOGGAR,38.46993,15.61824,2026-03-21 12:19:54.320786062 +0000 UTC,127.7,34800,38.46993166666667,15.618238333333332,1,0,True,False,7,0,0.4,0,0,53,203,271000742,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21845,15.24141,2026-03-21 12:19:55.614988663 +0000 UTC,100.1,22604,38.21845333333333,15.241408333333334,1,0,False,False,0,0,0,0,0,55,312,247447600,True
PositionReport,247447400,DANIELA MORACE      ,38.21827,15.24128,2026-03-21 12:19:59.39095102 +0000 UTC,291,49181,38.218268333333334,15.241283333333334,1,0,True,False,-128,0,0,0,0,57,511,247447400,True
PositionReport,247003800,SIMONE MARTINI      ,38.01016,12.50871,2026-03-21 12:20:04.379657376 +0000 UTC,253.4,83786,38.01015833333334,12.508708333333335,3,5,True,False,0,0,0,0,0,3,313,247003800,True
PositionReport,256338000,MINERVA OCEANIA     ,38.21128,15.26365,2026-03-21 12:20:04.987651817 +0000 UTC,40,0,38.211283333333334,15.26365,3,5,False,False,0,0,0,0,0,2,10,256338000,True
PositionReport,247415900,VITTORIO MORACE     ,37.94504,12.32082,2026-03-21 12:20:06.63548175 +0000 UTC,338.4,0,37.94503833333333,12.32082,1,0,True,False,0,0,27.5,0,0,7,344,247415900,True
PositionReport,247387500,CARMEN M,38.01329,12.5108,2026-03-21 12:20:08.941400244 +0000 UTC,4.9,81983,38.013286666666666,12.510801666666667,1,0,True,False,0,0,0,0,0,6,42,247387500,True
PositionReport,247540100,LAURA SANGIOVANNI   ,38.49909,14.98433,2026-03-21 12:20:14.806333701 +0000 UTC,158.5,81930,38.49908666666667,14.984331666666666,1,0,True,False,127,0,27.5,0,0,14,158,247540100,True
PositionReport,238481940,INKA,38.01524,12.49882,2026-03-21 12:20:18.264668493 +0000 UTC,360,22608,38.01524,12.49882,1,0,True,True,8,0,0,0,0,18,511,238481940,True
PositionReport,247041800,ANTONELLO DA MESSINA,37.96403,12.16905,2026-03-21 12:20:20.146129129 +0000 UTC,90,99054,37.96403,12.169048333333334,1,0,True,False,-128,0,12.8,0,0,19,511,247041800,True
PositionReport,247054100,BRIDGE,38.65313,15.24749,2026-03-21 12:20:20.554729968 +0000 UTC,179.9,66297,38.65312666666667,15.247486666666667,1,0,True,True,-128,0,11.3,0,0,19,511,247054100,True
PositionReport,247147390,ARISTEUS,38.33381,15.03467,2026-03-21 12:20:21.370418417 +0000 UTC,227,78723,38.33381333333333,15.03467,3,5,False,False,-128,0,5.1,0,0,11,511,247147390,True
PositionReport,636021518,MSC CALEDONIA II,38.45498,15.72274,2026-03-21 12:20:26.240583441 +0000 UTC,50.5,82000,38.45498,15.722743333333334,1,0,False,False,3,0,0.6,0,0,25,30,636021518,True
PositionReport,247147390,ARISTEUS,38.33365,15.03444,2026-03-21 12:20:31.324107 +0000 UTC,227.3,2246,38.333645000000004,15.034443333333334,1,5,False,False,-128,0,5.3,0,0,21,511,247147390,True
PositionReport,247430200,LADY MARIELLA,38.21872,15.30388,2026-03-21 12:20:31.620663505 +0000 UTC,295.6,47914,38.21871833333333,15.303883333333333,3,1,True,False,0,0,0,0,0,31,23,247430200,True
PositionReport,247141500,ECO AUGUSTA,37.09585,13.94059,2026-03-21 12:20:31.990939989 +0000 UTC,360,22608,37.09584666666667,13.940588333333332,1,3,True,True,-128,0,0,0,0,31,511,247141500,True
PositionReport,247320500,MARCO M             ,38.21706,15.24124,2026-03-21 12:20:33.441282881 +0000 UTC,196.7,99549,38.217063333333336,15.241241666666667,1,0,True,False,0,0,0,0,0,31,164,247320500,True
PositionReport,247243700,IEVOLI FAST         ,38.21127,15.2643,2026-03-21 12:20:34.094571139 +0000 UTC,177.6,84938,38.21126666666667,15.264299999999999,3,5,True,False,0,0,0,0,0,33,12,247243700,True
PositionReport,247193300,PLATONE,38.46083,14.974,2026-03-21 12:20:37.08574851 +0000 UTC,157,138960,38.46083333333333,14.974,3,5,False,False,127,0,36.4,0,0,35,150,247193300,True
PositionReport,247055200,F.LLI FAZIO         ,38.25685,15.09257,2026-03-21 12:20:40.253871138 +0000 UTC,246.9,99807,38.25685166666666,15.092565,1,3,True,False,0,0,5.1,0,0,39,240,247055200,True
PositionReport,215777000,MINERVA MARINA      ,38.36592,15.23334,2026-03-21 12:20:42.284516161 +0000 UTC,322.2,22608,38.36591833333333,15.233343333333332,1,0,False,False,0,0,11.3,0,0,43,324,215777000,True
PositionReport,247152500,MERAK               ,38.21693,15.24808,2026-03-21 12:20:42.466511289 +0000 UTC,112.9,81965,38.216930000000005,15.248075,1,0,True,False,-128,0,0,0,0,42,511,247152500,True
PositionReport,212184000,MSC BRIDGE          ,38.37836,15.47131,2026-03-21 12:20:43.557592937 +0000 UTC,74.5,49226,38.37835666666667,15.471308333333333,1,0,False,False,0,0,9.3,0,0,43,73,212184000,True
PositionReport,247193300,PLATONE,38.45967,14.9745,2026-03-21 12:20:43.748519931 +0000 UTC,162,180249,38.459666666666664,14.9745,1,5,False,False,127,0,36.5,0,0,42,155,247193300,True
PositionReport,258107000,OLYMPIC DELTA       ,38.01279,12.51926,2026-03-21 12:20:43.842651296 +0000 UTC,45,83850,38.01279,12.519263333333333,3,5,False,False,0,0,0,2,0,44,69,258107000,True
PositionReport,247225900,REGINA DEI MARI,38.47762,14.96335,2026-03-21 12:20:47.411106653 +0000 UTC,360,2199,38.477624999999996,14.963353333333334,1,0,True,True,-128,0,0.1,0,0,46,511,247225900,True
PositionReport,247434500,SIKANIA             ,38.17178,15.61457,2026-03-21 12:20:48.534953198 +0000 UTC,19.5,22608,38.17178166666667,15.614566666666667,1,0,False,False,0,0,11.6,0,0,48,190,247434500,True
PositionReport,247350300,EMMA M,38.01325,12.5122,2026-03-21 12:20:52.117734918 +0000 UTC,15.3,34718,38.01325166666666,12.512195,1,0,False,False,0,0,0,0,0,49,352,247350300,True
PositionReport,271000742,MSC HOGGAR,38.46987,15.61835,2026-03-21 12:20:54.316965493 +0000 UTC,127.6,22608,38.46986833333334,15.618353333333333,1,0,True,False,-5,0,0.3,0,0,53,203,271000742,True
PositionReport,2470087,MILAZZO PORT INFORMR,38.21197,15.24671,2026-03-21 12:20:54.501148792 +0000 UTC,152.1,2240,38.21196666666666,15.24671,1,0,False,False,-128,0,0.1,0,0,53,511,2470087,True
PositionReport,247234700,ACRUX               ,38.21699,15.2476,2026-03-21 12:20:54.653764246 +0000 UTC,101.1,22608,38.21698833333333,15.2476,1,0,True,False,-128,0,0,0,0,53,511,247234700,True
PositionReport,247447600,FERDINANDO MORACE   ,38.21846,15.24141,2026-03-21 12:20:55.605673103 +0000 UTC,322.5,2215,38.21846,15.241411666666666,1,0,False,False,0,0,0.1,0,0,55,311,247447600,True
PositionReport,247447400,DANIELA MORACE      ,38.21827,15.24128,2026-03-21 12:20:59.44018051 +0000 UTC,291,34992,38.218268333333334,15.241283333333334,1,0,True,False,-128,0,0,0,0,56,511,247447400,True
PositionReport,247000300,PIETRO NOVELLI,38.01042,12.50979,2026-03-21 12:21:00.993200518 +0000 UTC,343.2,76618,38.01042333333333,12.509784999999999,3,5,True,False,0,0,0,0,0,0,322,247000300,True
PositionReport,247149630,M/P PAPA' CARMELO  ,38.24746,15.06313,2026-03-21 12:21:02.415164299 +0000 UTC,137.5,2293,38.247458333333334,15.063133333333333,1,7,True,True,-128,0,2,0,0,2,511,247149630,True
PositionReport,247415900,VITTORIO MORACE     ,37.95223,12.31709,2026-03-21 12:21:06.027862939 +0000 UTC,335.4,98526,37.95223,12.31709,1,0,True,False,0,0,28.1,0,0,6,338,247415900,True
PositionReport,247387500,CARMEN M,38.01328,12.51079,2026-03-21 12:21:08.930804749 +0000 UTC,4.9,65868,38.013283333333334,12.510788333333332,1,0,True,False,0,0,0,0,0,6,42,247387500,True
PositionReport,249596000,CLIO                ,38.01346,12.50763,2026-03-21 12:21:13.024574772 +0000 UTC,242,84938,38.013463333333334,12.507624999999999,3,5,True,False,0,0,0,0,0,12,21,249596000,True
PositionReport,247342000,LAURANA             ,38.21637,15.24299,2026-03-21 12:21:13.793870658 +0000 UTC,198,84938,38.216368333333335,15.242989999999999,3,5,True,False,0,0,0,0,0,14,319,247342000,True
PositionReport,247540100,LAURA SANGIOVANNI   ,38.4917,14.98675,2026-03-21 12:21:14.863323331 +0000 UTC,168.6,66087,38.49170166666667,14.986748333333333,1,0,True,False,0,0,27.5,0,0,14,166,247540100,True
PositionReport,247054100,BRIDGE,38.64998,15.2475,2026-03-21 12:21:20.575131045 +0000 UTC,180.3,49183,38.64998,15.247504999999999,1,0,True,True,-128,0,11.2,0,0,19,511,247054100,True
PositionReport,238481940,INKA,38.01525,12.49881,2026-03-21 12:21:26.687866665 +0000 UTC,360,2293,38.015245,12.498813333333334,1,0,True,True,10,0,0,0,0,26,511,238481940,True
PositionReport,247147390,ARISTEUS,38.33269,15.03301,2026-03-21 12:21:31.269803744 +0000 UTC,228.7,66328,38.33269,15.033011666666665,1,5,False,False,-128,0,5.3,0,0,21,511,247147390,True
PositionReport,247320500,MARCO M             ,38.21706,15.24124,2026-03-21 12:21:33.322648532 +0000 UTC,200,81964,38.21706,15.241241666666667,1,0,True,False,0,0,0.1,0,0,30,164,247320500,True
PositionReport,247042100,HELGA,38.01361,12.50657,2026-03-21 12:21:37.603699537 +0000 UTC,5.9,79610,38.01361,12.506571666666668,3,5,True,False,-128,0,0,0,0,37,511,247042100,True
