date,mmsi,lat,lon,fishing_hours
2020-01-31,247141860,37.5,11.2,1.6027
2020-01-31,247146970,36.2,12.4,0.0
2020-01-31,247147310,36.2,11.9,1.7169
2020-01-31,247147310,36.2,12.0,0.0
2020-01-31,247151120,36.2,11.9,1.968
2020-01-31,247151120,36.2,11.7,2.7669
2020-01-31,247151120,36.2,12.0,0.1125
2020-01-31,247151120,36.2,11.8,3.1697
2020-01-31,247151670,36.2,11.7,1.2608
2020-01-31,247151670,36.2,12.0,0.2641
2020-01-31,247151670,36.2,11.8,2.1836
2020-01-31,247151670,36.2,11.9,1.3799
2020-01-31,247300480,36.2,13.0,0.0
2020-01-31,247141890,38.2,12.6,0.0
2020-01-31,247141890,38.2,12.7,0.0
2020-01-31,247141890,38.2,12.8,0.0
2020-01-31,247143380,38.2,15.4,0.0
2020-01-31,247143380,38.2,15.5,0.0
2020-01-31,247146550,38.2,13.0,7.9494
2020-01-31,247146550,38.2,13.2,0.1047
2020-01-31,247146550,38.2,13.1,3.5274
2020-01-31,247149630,38.2,15.0,8.3475
2020-01-31,247302360,38.2,13.2,2.0555
2020-01-31,247302360,38.2,13.1,4.2719
2020-01-31,247302360,38.2,13.0,5.1036
2020-01-31,247141010,36.7,11.8,0.2744
2020-01-31,247141010,36.7,11.7,1.8422
2020-01-31,247141050,36.7,14.3,2.3836
2020-01-31,247141050,36.7,14.4,0.8663
2020-01-31,247141730,36.7,12.1,0.0
2020-01-31,247141730,36.7,12.0,0.0
2020-01-31,247142280,36.7,11.8,2.4094
2020-01-31,247142280,36.7,11.6,2.575
2020-01-31,247142280,36.7,11.7,2.4
2020-01-31,247142450,36.7,11.8,0.0
2020-01-31,247142450,36.7,11.7,2.7863
2020-01-31,247143440,36.7,11.7,7.0194
2020-01-31,247143580,36.7,11.5,2.4555
2020-01-31,247143580,36.7,11.7,2.4358
2020-01-31,247143580,36.7,11.8,0.8952
2020-01-31,247143580,36.7,11.6,5.048
2020-01-31,247143660,36.7,12.2,0.0
2020-01-31,247145580,36.7,15.2,6.0305
2020-01-31,247145580,36.7,15.1,0.0
